entity_id,canonical_name,short_name,aliases,level,parent_group,province,city,district,org_type,regulator,website,recruit_url,wechat,source_url,confidence,last_verified
cen-ceec-ah2,中国能源建设集团安徽电力建设第二工程有限公司,安徽电建二公司,中国能建安徽电建二公司|安徽电建二公司,央企在皖单位,中国能源建设集团有限公司,安徽,合肥,,soe,中国能源建设集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-cetc-ah38,中国电子科技集团公司第三十八研究所,中国电科38所,中电38所|38所|中国电科第三十八研究所,央企在皖单位,中国电子科技集团有限公司,安徽,合肥,,soe,中国电子科技集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-cetc-ah43,中国电子科技集团公司第四十三研究所,中国电科43所,中电43所|43所|中国电科第四十三研究所,央企在皖单位,中国电子科技集团有限公司,安徽,合肥,,soe,中国电子科技集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-cetc-js14,中国电子科技集团公司第十四研究所,中国电科14所,中电14所|14所|中国电科第十四研究所,央企在苏单位,中国电子科技集团有限公司,江苏,南京,,soe,中国电子科技集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-cetc-js28,中国电子科技集团公司第二十八研究所,中国电科28所,中电28所|28所|中国电科第二十八研究所,央企在苏单位,中国电子科技集团有限公司,江苏,南京,,soe,中国电子科技集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
cen-cetc-zj36,中国电子科技集团公司第三十六研究所,中国电科36所,中电36所|36所|中国电科第三十六研究所,央企在浙单位,中国电子科技集团有限公司,浙江,嘉兴,,soe,中国电子科技集团有限公司,,,,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,curated_seed,2026-09-02
sh-international,上海国际集团有限公司,上海国际集团,上海国际集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-guosheng,上海国盛（集团）有限公司,上海国盛集团,上海国盛集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-gztz,上海国有资本投资有限公司,上海国投,上海国投,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-exchange,上海交易集团有限公司,上海交易集团,上海交易集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-saic,上海汽车集团股份有限公司,上汽集团,上汽集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-electric,上海电气集团股份有限公司,上海电气,上海电气,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-huayi,上海华谊集团股份有限公司,华谊集团,华谊集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-shi,上海实业（集团）有限公司,上实集团,上实集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-sipg,上海国际港务（集团）股份有限公司,上港集团,上港集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-shenergy,申能（集团）有限公司,申能集团,申能集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-instrument,上海仪电（集团）有限公司,上海仪电,上海仪电,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-huahong,上海华虹（集团）有限公司,华虹集团,华虹集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-data,上海数据集团有限公司,上海数据集团,上海数据集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-lianhe,上海联和投资有限公司,联和投资,联和投资,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-spdb,上海浦东发展银行股份有限公司,浦发银行,浦发银行,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-bank,上海银行股份有限公司,上海银行,上海银行,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-srcb,上海农村商业银行股份有限公司,上海农商银行,上海农商银行,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-guotaihaitong,国泰海通证券股份有限公司,国泰海通,国泰海通,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-cic,中保投资有限责任公司,中保投资,中保投资,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-airport,上海机场（集团）有限公司,上海机场集团,上海机场集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-land,上海地产（集团）有限公司,上海地产集团,上海地产集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-chengtou,上海城投（集团）有限公司,上海城投集团,上海城投集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-jiushi,上海久事（集团）有限公司,久事集团,久事集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-metro,上海申通地铁集团有限公司,申通地铁集团,申通地铁集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-lingang,上海临港经济发展（集团）有限公司,临港集团,临港集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-shendi,上海申迪（集团）有限公司,申迪集团,申迪集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-yangtze,长三角投资（上海）有限公司,长三角投资,长三角投资,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-agri,上海市现代农业投资发展集团有限公司,上海农投集团,上海农投集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-hub,上海东方枢纽投资建设发展集团有限公司,东方枢纽集团,东方枢纽集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-test,上海市检验检测认证有限公司,上检公司,上检公司,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-delta,长三角一体化示范区新发展建设有限公司,长新公司,长新公司,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-construction,上海建工集团股份有限公司,上海建工,上海建工,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-tunnel,上海隧道工程股份有限公司,隧道股份,隧道股份,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-arcplus,华东建筑集团股份有限公司,华建集团,华建集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-bailian,百联集团有限公司,百联集团,百联集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-jinjiang,锦江国际（集团）有限公司,锦江国际,锦江国际,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-donghao,东浩兰生（集团）有限公司,东浩兰生,东浩兰生,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
sh-bright,光明食品（集团）有限公司,光明食品集团,光明食品集团,市属国企,,上海,上海,,soe,上海市国资委,,,,https://www.gzw.sh.gov.cn/shgzw_xtdw/,official_seed,2026-09-02
js-guoxin,江苏省国信集团有限公司,江苏国信,江苏国信,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-jt,江苏交通控股有限公司,江苏交控,江苏交控,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-airport,东部机场集团有限公司,东部机场,东部机场,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-suhao,江苏省苏豪控股集团有限公司,苏豪控股,苏豪控股,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-zhongjiang,中国江苏国际经济技术合作集团有限公司,中江集团,中江集团,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-nongken,江苏省农垦集团有限公司,江苏农垦,江苏农垦,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-xukuang,徐州矿务集团有限公司,徐矿集团,徐矿集团,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-coastal,江苏省沿海开发集团有限公司,沿海集团,沿海集团,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-port,江苏省港口集团有限公司,江苏港口,江苏港口,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-rail,江苏省铁路集团有限公司,江苏铁路,江苏铁路,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-env,江苏省环保集团有限公司,江苏环保集团,江苏环保集团,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-salt,江苏省盐业集团有限责任公司,苏盐集团,苏盐集团,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-grain,江苏省粮食集团有限责任公司,苏粮集团,苏粮集团,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-gaotou,江苏高科技投资集团有限公司,江苏高投,江苏高投,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-jinling,南京金陵饭店集团有限公司,金陵饭店集团,金陵饭店集团,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-zhongshan,江苏钟山宾馆集团有限公司,钟山宾馆集团,钟山宾馆集团,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-water,南水北调东线江苏水源有限责任公司,江苏水源,江苏水源,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-sports,江苏省体育产业集团有限公司,江苏体产集团,江苏体产集团,省属国企,,江苏,,,soe,江苏省国资委,,,,https://jsgzw.jiangsu.gov.cn/,official_seed,2026-09-02
js-nj-metro,南京地铁集团有限公司,南京地铁,南京地铁,市属国企,,江苏,南京,,soe,南京市国资监管机构,,,,https://jsgzw.jiangsu.gov.cn/,curated_seed,2026-09-02
js-nj-chengtou,南京市城市建设投资控股（集团）有限责任公司,南京城建集团,南京城建集团,市属国企,,江苏,南京,,soe,南京市国资监管机构,,,,https://jsgzw.jiangsu.gov.cn/,curated_seed,2026-09-02
js-sz-guofa,苏州国际发展集团有限公司,苏州国发,苏州国发,市属国企,,江苏,苏州,,soe,苏州市国资监管机构,,,,https://jsgzw.jiangsu.gov.cn/,curated_seed,2026-09-02
js-sz-metro,苏州市轨道交通集团有限公司,苏州轨道,苏州轨道,市属国企,,江苏,苏州,,soe,苏州市国资监管机构,,,,https://jsgzw.jiangsu.gov.cn/,curated_seed,2026-09-02
js-wx-industry,无锡产业发展集团有限公司,无锡产业集团,无锡产业集团,市属国企,,江苏,无锡,,soe,无锡市国资监管机构,,,,https://jsgzw.jiangsu.gov.cn/,curated_seed,2026-09-02
js-wx-metro,无锡地铁集团有限公司,无锡地铁,无锡地铁,市属国企,,江苏,无锡,,soe,无锡市国资监管机构,,,,https://jsgzw.jiangsu.gov.cn/,curated_seed,2026-09-02
ah-energy,安徽省能源集团有限公司,皖能集团,皖能集团|安徽能源集团,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-invest,安徽省投资集团控股有限公司,安徽省投资集团,安徽投资集团|省投资集团,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-ajg,安徽建工集团股份有限公司,安徽建工,安徽建工集团|安徽建工股份,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-conch,安徽海螺集团有限责任公司,海螺集团,安徽海螺|海螺集团,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-tongling,铜陵有色金属集团控股有限公司,铜陵有色,铜陵有色集团|铜陵有色,省属国企,,安徽,铜陵,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-transport,安徽省交通控股集团有限公司,安徽交控,安徽交控集团|安徽省交控,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-heli,安徽叉车集团有限责任公司,安徽叉车集团,安徽叉车|合力集团,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-port,安徽省港航集团有限公司,安徽港航,安徽港航集团|省港航集团,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-nongken,安徽省农垦集团有限公司,安徽农垦,安徽农垦集团,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-salt,安徽省盐业投资控股集团有限公司,安徽盐业,安徽盐业集团,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-tourism,安徽省旅游集团有限责任公司,安徽旅游集团,省旅游集团,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-yjjh,安徽省引江济淮集团有限公司,引江济淮集团,安徽引江济淮,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-huishang,安徽省徽商集团有限公司,徽商集团,安徽徽商集团,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-guoyuan,安徽国元金融控股集团有限责任公司,国元金控,国元金控|国元金融控股,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
ah-guarantee,安徽省信用融资担保集团有限公司,安徽省担保集团,安徽担保集团|省信用担保集团,省属国企,,安徽,合肥,,soe,安徽省国资委,,,,https://gzw.ah.gov.cn/ssqy/qyzp/index.html,curated_seed,2026-09-02
